etwas abschließen	to complete, to conclude something; to lock something	German	English
etwas ausprobieren	to try something out, to test something	German	English
böse	angry; evil; nasty	German	English
der Dolmetscher	interpreter	German	English
entstehen	to arise, to emerge, to develop	German	English
der Geschäftsführer	managing director	German	English
das Handwerk	craft, trade	German	English
im Gegensatz zu	unlike, in contrast to	German	English
kaum	hardly, barely	German	English
das Lehramt	teaching degree, teacher training	German	English
der Maschinenbau	mechanical engineering	German	English
die Note	grade, mark	German	English
die Physik	physics	German	English
stolz	proud	German	English
auf jemanden stolz sein	to be proud of someone	German	English
die Umschulung	retraining	German	English
etwas anpacken	to tackle, to get to work on something; to seize something	German	English
Echt?	Really?	German	English
