effizient	efficient, resource-saving	German	English
effektiv	effective, producing the desired effect	German	English
etwas (Dativ) entsprechen	to correspond to, to be in accordance with something (level, requirements)	German	English
das Niveau	level, standard	German	English
in einem Monat	in one month	German	English
in zwei Monaten	in two months	German	English
innerhalb von einem Monat	within one month (colloquial)	German	English
innerhalb eines Monats	within one month	German	English
das Hörverstehen	listening comprehension	German	English
der Verband	association, federation; bandage	German	English
