etwas anzünden	to light something, to set something on fire	German	English
aufbleiben	to stay up, to stay awake	German	English
der Elektroherd	electric stove	German	English
der Herd	stove, cooker	German	English
früher	previously, earlier, in the past	German	English
das Holz	wood, timber	German	English
hygienisch	hygienic, sanitary	German	English
im Vergleich zu	in comparison with	German	English
das Licht	light	German	English
der Strom	electricity, electric power	German	English
bis zu etwas reichen	to reach as far as, to extend up to something	German	English
für etwas reichen	to be sufficient for something	German	English
etwas sammeln	to collect, to gather something	German	English
umständlich	cumbersome, awkward, inconvenient	German	English
etwas wegräumen	to clear away, to put away something	German	English
