der Eintritt	admission, entry	German	English
der Einwohner	resident, inhabitant	German	English
der Ersatz	replacement, substitute	German	English
das Gedicht	poem	German	English
kurzfristig	short-term, at short notice	German	English
die Messe	trade fair; mass (church)	German	English
das Programm	program, schedule	German	English
der Sänger	singer	German	English
schlammig	muddy	German	English
das Stück	piece, chunk, item; play (theater)	German	English
die Veranstaltung	event, gathering	German	English
das Zelt	tent	German	English
