etwas schütteln	to shake something	German	English
jemandem die Hand schütteln	to shake someone's hand	German	English
die Herausforderung	challenge	German	English
grinsen	to grin, to smirk	German	English
diskret	discreet, tactful	German	English
die Art	type, kind; way, manner	German	English
der Kerl	guy, bloke	German	English
etwas tasten	to feel something; to grope	German	English
nach etwas tasten	to feel for something; to grope for something	German	English
etwas betrachten	to look at something; to consider something	German	English
jemandem einfallen	to occur to someone; to come to someone's mind	German	English
zögern	to hesitate	German	English
mit etwas zögern	to hesitate about something	German	English
offenbar	apparently, evidently	German	English
