wach	awake, alert	German	English
die Durchsage	announcement, public announcement	German	English
vor einer Woche	a week ago	German	English
das Anschreiben	cover letter	German	English
der Arbeitnehmer	employee, worker	German	English
befristet	temporary, fixed-term	German	English
der Beitrag	contribution, fee	German	English
der Bewerber	applicant, candidate	German	English
jemanden einstellen	to hire someone	German	English
jedoch	however, though	German	English
die Kosten	costs, expenses	German	English
die Schwäche	weakness, weak point	German	English
selbstbewusst	self-confident, confident	German	English
die Stärke	strength, strong point	German	English
die Steuer	tax	German	English
das Zertifikat	certificate	German	English
