der Abschlag	deduction, discount; advance payment	German	English
etwas umstellen	to rearrange, to adjust something; to surround something	German	English
etwas ignorieren	to ignore something	German	English
Seit wann?	Since when?	German	English
abwesend	absent, away	German	English
anwesend	present, attendant	German	English
mündlich	oral, spoken, verbal	German	English
nicht ganz so	not quite so	German	English
die Ferien	holidays	German	English
der Kuli	pen (colloquial)	German	English
der Kugelschreiber	pen	German	English
reich	rich	German	English
arm	poor	German	English
jemanden begeistern	to inspire, to enthuse someone	German	English
sich für etwas begeistern	to be enthusiastic about something	German	English
das Unbehagen	discomfort, unease	German	English
