zur Arbeit gehen	to go to work	German	English
Geld verdienen	to earn money	German	English
jemanden versorgen	to take care of, to provide for someone	German	English
jemanden mit etwas versorgen	to provide someone with something	German	English
abhängig	dependent (-ly)	German	English
von etwas abhängig sein	to be dependent on, to rely on something	German	English
etwas von jemandem erwarten	to expect something from someone	German	English
gleichberechtigt	equal, with equal rights	German	English
die Gleichberechtigung	equality, equal rights	German	English
das Grundgesetz	constitution, Basic Law	German	English
die Pflicht	obligation, duty	German	English
das Recht	right, entitlement	German	English
jemanden respektieren	to respect someone	German	English
die Rolle	role, part	German	English
sich sehen	to see each other, to date	German	English
selbstständig	independent (-ly), autonomous (-ly)	German	English
traditionell	traditional (-ly)	German	English
der Unsinn	nonsense, absurdity	German	English
zunächst	initially, at first, for the time being	German	English
mit jemandem zurechtkommen	to get along with, to cope with someone	German	English
