der Kuss	kiss	German	English
etwas fressen	to eat (as animal), to devour something	German	English
das Kaninchen	rabbit	German	English
menschlich	human (-ly)	German	English
der Mensch	human being, person	German	English
das Korn	grain	German	English
das Huhn	chicken	German	English
das Werkzeug	tool	German	English
das Zeug	stuff, things	German	English
das Waschzeug	toiletries	German	English
momentan	currently, at the moment	German	English
gegenwärtig	currently, at present	German	English
zurzeit	currently, at the moment	German	English
die App	app	German	English
die Leine	leash, lead, tether	German	English
