jemanden bezahlen	to pay someone	German	English
für jemanden bezahlen	to pay for someone	German	English
etwas für jemanden bezahlen	to pay something for someone	German	English
beißen	to bite	German	English
etwas enthalten	to contain, to include something	German	English
ablaufen	to expire, to run out (contracts); to proceed, to run (process)	German	English
die Auskunft	information, information desk	German	English
jemandem etwas ausrichten	to pass a message on to someone	German	English
etwas ausrichten	to align, to adjust something; to host, to organize something	German	English
etwas beobachten	to observe, to watch something	German	English
die Besprechung	meeting, discussion	German	English
etwas betonen	to emphasize, to stress something	German	English
jemanden um etwas bitten	to ask someone for something, to request something from someone	German	English
dringend	urgent, urgently, desperately	German	English
der Hausmeister	caretaker, janitor	German	English
höflich	polite, courteous	German	English
die Höflichkeit	politeness, courtesy	German	English
eine Nachricht hinterlassen	to leave a message	German	English
etwas nennen	to name, to call something	German	English
persönlich	personal, personally, in person	German	English
die Stimme	voice	German	English
jemanden unterbrechen	to interrupt someone	German	English
sich verabschieden	to say goodbye	German	English
sich mit jemandem verbinden lassen	to be put through to someone (on the phone)	German	English
Vielen Dank für Ihre Mühe	Thank you for your effort	German	English
jemanden zurückrufen	to call someone back, to return a call	German	English
bewölkt	cloudy, overcast	German	English
aufmerksam	attentive, considerate, observant	German	English
