aggravation	обострение, усугубление; раздражение	English	Russian
обострение, усугубление; раздражение	aggravation	Russian	English
frustrated	разочарованный и раздражённый из-за препятствий	English	Russian
разочарованный и раздражённый из-за препятствий	frustrated	Russian	English
devastated	опустошённый, убитый горем	English	Russian
опустошённый, убитый горем	devastated	Russian	English
singularly	исключительно, необычайно	English	Russian
исключительно, необычайно	singularly	Russian	English
in the singular	в единственном числе	English	Russian
в единственном числе	in the singular	Russian	English
windowsill	подоконник	English	Russian
подоконник	windowsill	Russian	English
to thaw	оттаивать	English	Russian
оттаивать	to thaw	Russian	English
thaw	оттепель	English	Russian
оттепель	thaw	Russian	English
to pertain to	относиться к, иметь отношение к	English	Russian
относиться к, иметь отношение к	to pertain to	Russian	English
dead letter	не применяющийся, но и не отменённый закон; невостребованное письмо	English	Russian
не применяющийся, но и не отменённый закон	dead letter	Russian	English
невостребованное письмо	unclaimed, undeliverable, dead letter	Russian	English
offset	смещение; компенсация	English	Russian
смещение; компенсация	offset	Russian	English
to offset	компенсировать, уравновешивать	English	Russian
компенсировать, уравновешивать	to offset	Russian	English
to be offset by something	компенсироваться чем-либо, сводиться на нет чем-либо	English	Russian
компенсироваться чем-либо, сводиться на нет чем-либо	to be offset by something	Russian	English
chest	сундук, ящик; грудная клетка	English	Russian
сундук	chest	Russian	English
to part with	расстаться с, отделиться от	English	Russian
расстаться с, отделиться от	to part with	Russian	English
downright	откровенный, откровенно, совершенно (о человеке или тоне)	English	Russian
откровенный, откровенно, совершенно (о человеке или тоне)	downright	Russian	English
фарш	ground meat, mince	Russian	English
ground meat	фарш	English	Russian
mince	фарш	English	Russian
to mince	пропускать через мясорубку, крошить на мелкие кусочки	English	Russian
пропускать через мясорубку, крошить на мелкие кусочки	to mince	Russian	English
