like chalk and cheese	как небо и земля, совершенно разные	English	Russian
как небо и земля, совершенно разные	like chalk and cheese	Russian	English
simile	сравнение (стилистический приём)	English	Russian
сравнение (стилистический приём)	simile	Russian	English
rough around the edges	неотёсанный, грубоватый	English	Russian
неотёсанный, грубоватый	rough around the edges	Russian	English
to pass something off as something	выдавать что-то за что-то (обманывать)	English	Russian
выдавать что-то за что-то (обманывать)	to pass something off as something	Russian	English
to pass off	пройти гладко, без происшествий	English	Russian
пройти гладко, без происшествий	to pass off	Russian	English
banal	банальный, заезженный	English	Russian
банальный, заезженный	banal	Russian	English
trite	банальный, избитый	English	Russian
банальный, избитый	trite	Russian	English
susceptible	восприимчивый, подверженный	English	Russian
восприимчивый, подверженный	susceptible	Russian	English
like father, like son	яблоко от яблони недалеко падает	English	Russian
яблоко от яблони недалеко падает	like father, like son	Russian	English
as white as a sheet	бледный как смерть	English	Russian
бледный как смерть	as white as a sheet	Russian	English
