all things considered	учитывая все обстоятельства, в целом	English	Russian
учитывая все обстоятельства, в целом	all things considered	Russian	English
to consolidate	консолидировать, укреплять, объединять	English	Russian
консолидировать, укреплять, объединять	to consolidate	Russian	English
to cut back on something	сокращать что-либо, урезать расходы на что-либо	English	Russian
сокращать что-либо, урезать расходы на что-либо	to cut back on something	Russian	English
dire	ужасный, критический, крайне тяжёлый	English	Russian
ужасный, критический, крайне тяжёлый	dire	Russian	English
dire straits	критическое положение, безвыходная ситуация	English	Russian
критическое положение, безвыходная ситуация	dire straits	Russian	English
to float a company	вывести компанию на биржу	English	Russian
вывести компанию на биржу	to float a company	Russian	English
to go under	обанкротиться, прогореть	English	Russian
обанкротиться, прогореть	to go under	Russian	English
to hang in	держаться, не сдаваться	English	Russian
держаться, не сдаваться	to hang in	Russian	English
to inundate	затапливать; заваливать, наводнять	English	Russian
затапливать; заваливать, наводнять	to inundate	Russian	English
to be inundated with something	быть заваленным чем-либо	English	Russian
быть заваленным чем-либо	to be inundated with something	Russian	English
to cover overheads	покрывать накладные расходы	English	Russian
покрывать накладные расходы	to cover overheads	Russian	English
overheads	накладные расходы	English	Russian
накладные расходы	overheads	Russian	English
to pencil something in	наметить что-либо предварительно, внести в расписание карандашом	English	Russian
наметить что-либо предварительно, внести в расписание карандашом	to pencil something in	Russian	English
to take to something	полюбить что-либо, привыкнуть к чему-либо	English	Russian
полюбить что-либо, привыкнуть к чему-либо	to take to something	Russian	English
to talk through	обсудить подробно, проговорить	English	Russian
обсудить подробно, проговорить	to talk through	Russian	English
to look on the bright side	смотреть на светлую сторону, искать позитив	English	Russian
смотреть на светлую сторону, искать позитив	to look on the bright side	Russian	English
upturn	подъём, улучшение	English	Russian
подъём, улучшение	upturn	Russian	English
downturn	спад, ухудшение	English	Russian
спад, ухудшение	downturn	Russian	English
to weather a situation	пережить трудную ситуацию, выстоять	English	Russian
пережить трудную ситуацию, выстоять	to weather a situation	Russian	English
