to have the courage of your convictions	иметь мужество следовать своим убеждениям	English	Russian
иметь мужество следовать своим убеждениям	to have the courage of your convictions	Russian	English
to live in the lap of luxury	купаться в роскоши	English	Russian
купаться в роскоши	to live in the lap of luxury	Russian	English
the same old story	всё то же самое, всё та же история	English	Russian
всё то же самое, всё та же история	the same old story	Russian	English
to break the bank	влететь в копеечку, обойтись неприемлемо дорого	English	Russian
влететь в копеечку, обойтись неприемлемо дорого	to break the bank	Russian	English
no meeting of minds	не нашлось взаимопонимания	English	Russian
не нашлось взаимопонимания	no meeting of minds	Russian	English
to make ends meet	сводить концы с концами	English	Russian
сводить концы с концами	to make ends meet	Russian	English
there is little love lost between them	у них натянутые отношения	English	Russian
у них натянутые отношения	there is little love lost between them	Russian	English
to hog	заграбастать, присвоить себе	English	Russian
заграбастать, присвоить себе	to hog	Russian	English
hog	боров, свинья	English	Russian
боров, свинья	hog	Russian	English
to answer in kind	отплатить той же монетой	English	Russian
отплатить той же монетой	to answer in kind	Russian	English
to give as good as one gets	не остаться в долгу, отплатить той же монетой	English	Russian
не остаться в долгу, отплатить той же монетой	to give as good as one gets	Russian	English
to stop the rot	навести порядок; остановить деградацию	English	Russian
навести порядок; остановить деградацию	to stop the rot	Russian	English
to jump the gun	опережать события	English	Russian
опережать события	to jump the gun	Russian	English
to get ahead of the curve	опережать тренды, быть впереди	English	Russian
опережать тренды, быть впереди	to get ahead of the curve	Russian	English
to hit it off with someone	сразу поладить, моментально подружиться с кем-либо	English	Russian
сразу поладить, моментально подружиться с кем-либо	to hit it off with someone	Russian	English
